facet	value	count
annotation_class	GO:0050832	974
annotation_class	GO:0004181	971
annotation_class	GO:0072546	970
annotation_class	GO:0007020	967
annotation_class	GO:0008195	966
annotation_class	GO:0005504	965
annotation_class	GO:0012507	965
annotation_class	GO:0015271	962
annotation_class	GO:0019933	960
annotation_class	GO:0030388	960
annotation_class	GO:0000712	957
annotation_class	GO:0030276	956
annotation_class	GO:0007032	955
annotation_class	GO:0034475	953
annotation_class	GO:0008276	952
annotation_class	GO:0019774	952
annotation_class	GO:0001817	951
annotation_class	GO:0050804	951
annotation_class	GO:0007010	950
annotation_class	GO:0008375	950
annotation_class	GO:0032197	950
annotation_class	GO:0098662	950
annotation_class	GO:0006869	949
annotation_class	GO:0008021	949
annotation_class	GO:0001508	948
annotation_class	GO:0005319	947
annotation_class	GO:0051879	946
annotation_class	GO:0008097	941
annotation_class	GO:0008233	941
annotation_class	GO:0051301	941
annotation_class	GO:0019388	940
annotation_class	GO:0071014	940
annotation_class	GO:0005885	939
annotation_class	GO:0007266	938
annotation_class	GO:0030018	937
annotation_class	GO:0004675	934
annotation_class	GO:0017116	934
annotation_class	GO:0022841	934
annotation_class	GO:0004467	933
annotation_class	GO:0047617	933
annotation_class	GO:0072542	932
annotation_class	GO:0004407	930
annotation_class	GO:0031369	930
annotation_class	GO:0016759	929
annotation_class	GO:0030244	929
annotation_class	GO:0005231	925
annotation_class	GO:0045324	924
annotation_class	GO:0006879	923
annotation_class	GO:0009898	923
annotation_class	GO:0043023	922
annotation_class	GO:0055088	922
annotation_class	GO:0034045	920
annotation_class	GO:0043024	919
annotation_class	GO:0005684	918
annotation_class	GO:0010506	918
annotation_class	GO:0008289	917
annotation_class	GO:0000425	915
annotation_class	GO:0015385	915
annotation_class	GO:0033962	912
annotation_class	GO:0031175	911
annotation_class	GO:0009691	910
annotation_class	GO:0030544	909
annotation_class	GO:0036297	908
annotation_class	GO:2000022	908
annotation_class	GO:0016460	906
annotation_class	GO:0004713	904
annotation_class	GO:0033617	903
annotation_class	GO:0070403	903
annotation_class	GO:0035435	902
annotation_class	GO:0005687	901
annotation_class	GO:0045275	900
annotation_class	GO:0003689	899
annotation_class	GO:0090110	899
annotation_class	GO:0030141	897
annotation_class	GO:0007229	895
annotation_class	GO:0009952	895
annotation_class	GO:0006108	894
annotation_class	GO:0006995	893
annotation_class	GO:0042254	893
annotation_class	GO:0045036	892
annotation_class	GO:0050839	892
annotation_class	GO:0007017	891
annotation_class	GO:0006885	888
annotation_class	GO:0030334	885
annotation_class	GO:0003906	884
annotation_class	GO:0008239	884
annotation_class	GO:0006607	883
annotation_class	GO:0016702	883
annotation_class	GO:0042555	883
annotation_class	GO:0070847	882
annotation_class	GO:0005198	881
annotation_class	GO:0004721	880
annotation_class	GO:0004693	879
annotation_class	GO:0046839	876
annotation_class	GO:0019003	875
annotation_class	GO:0030125	873
annotation_class	GO:0004033	870
annotation_class	GO:0045492	870
annotation_class	GO:0004656	869
annotation_class	GO:0016602	868
annotation_class	GO:0070181	867
annotation_class	GO:0007283	866
annotation_class	GO:0000160	864
annotation_class	GO:0007035	864
annotation_class	GO:0009378	864
annotation_class	GO:0045292	863
annotation_class	GO:0016405	862
annotation_class	GO:0005905	859
annotation_class	GO:0061723	859
annotation_class	GO:0004017	858
annotation_class	GO:0006405	858
annotation_class	GO:0000467	857
annotation_class	GO:0071035	857
annotation_class	GO:0071038	857
annotation_class	GO:0006488	856
annotation_class	GO:0031167	854
annotation_class	GO:0032870	854
annotation_class	GO:0006123	852
annotation_class	GO:0007064	852
annotation_class	GO:0008378	850
annotation_class	GO:0003950	847
annotation_class	GO:0006310	847
annotation_class	GO:0045296	846
annotation_class	GO:0045116	843
annotation_class	GO:0008574	842
annotation_class	GO:0015386	842
annotation_class	GO:0030020	842
annotation_class	GO:0031683	841
annotation_class	GO:0007187	840
annotation_class	GO:0097526	839
annotation_class	GO:0005227	833
annotation_class	GO:0030865	832
annotation_class	GO:0004022	830
annotation_class	GO:0005545	830
annotation_class	GO:0005675	829
annotation_class	GO:0000288	828
annotation_class	GO:0031011	828
annotation_class	GO:0004402	826
annotation_class	GO:0005313	826
annotation_class	GO:0045047	826
annotation_class	GO:0051209	826
annotation_class	GO:0008379	825
annotation_class	GO:0030027	824
annotation_class	GO:0035249	824
annotation_class	GO:0019915	821
annotation_class	GO:0048188	821
annotation_class	GO:0042802	820
annotation_class	GO:0045910	819
annotation_class	GO:0060326	818
annotation_class	GO:0000281	817
annotation_class	GO:0043171	817
annotation_class	GO:0005688	816
